--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 earthquake              	 earhguake               	0.0473
 Avignonet               	 Avignonet               	0.7103
 Yakobo.                 	 Yakobo.                 	0.9431
 anofanu.                	 anofanu.                	0.8338
 Menninger               	 Menningee               	0.1662
 maforo                  	 maforo                  	0.9171
 wobɛtiatia              	 wobɛtiatia              	0.8392
 Yekodu                  	 Yekodu                  	0.7562
 resiw                   	 resiw                   	0.8928
 Passlow                 	 Passlow                 	0.7563
 ɔrekɔfa                 	 ɔrekɔfa                 	0.9803
 Soɔiolinguistiɔs        	 Soɔiolinguistiɔs        	0.6988
 yɛ                      	 yɛ                      	0.9499
 tɔree.                  	 tɔree.                  	0.7708
 Disappearing            	 Dsagysansi              	0.0053
 dwaneeɛ                 	 dwaneeɛ                 	0.8292
 din?                    	 din?                    	0.9206
 wahu                    	 wahu                    	0.7693
 nkokum                  	 nkokum                  	0.7026
 Ahasia                  	 Ahasia                  	0.9981
 Speɔulation             	 Speɔulation             	0.9142
 wonhunu?                	 wohumu?                 	0.0783
 ntomago                 	 ntomago                 	0.5826
 sɛɛ                     	 sɛɛ                     	0.9995
 gu                      	 gu                      	0.9882
 ahunhuan                	 ahunhuen                	0.6074
 ba.ka.ta.ri             	 ba.ka.ta.ri             	0.5194
 bɛkyɛ.                  	 bɛkyɛ.                  	0.9894
 Yɛbɛpɔn                 	 Yɛbɛpɔn                 	0.8016
 Ahoɔyaa                 	 Ahoɔyaa                 	0.6105
 ɔhunta                  	 ɔhunta                  	0.6133
 teologia                	 teɔlogia                	0.4961
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 mpadeɛ                  	 mpadeɛ                  	0.6021
 dwam.                   	 dwam.                   	0.6218
 MɔGrawHill              	 MɔGrawHill              	0.3053
 NGS                     	 NGS                     	0.9934
 migyawee                	 migyawee                	0.9175
 nkye                    	 nkye                    	0.9598
 tin                     	 tin                     	0.8799
 moasu                   	 moasu                   	0.5912
 yɛanhwehwɛ              	 yɛanhwehwɛ              	0.4838
 your                    	 your                    	0.9195
 Sedekia!                	 Sedekia!                	0.7611
 Freimuth                	 Freimuth                	0.6331
 nkɔko                   	 nkɔko                   	0.9769
 wɔampow                 	 wɔampow                 	0.1358
 nkɔko?                  	 nkɔko?                  	0.8595
 ɔsesa                   	 ɔsesa                   	0.4665
 wbɛma                   	 wbɛma                   	0.8627
 ataban                  	 ataban                  	0.5251
 ɛpompono                	 ɛpompono                	0.3949
 ɔgyee                   	 ɔgyee                   	0.6538
 Hwerma                  	 Hwerma                  	0.3702
 mpontuo                 	 mpontuo                 	0.7422
 ɛsɔre                   	 ɛsɔre                   	0.8706
 Aberash                 	 Aberash                 	0.9388
 meresan                 	 meresan                 	0.5678
 wɔasɔresɔre             	 wɔasɔresɔre             	0.4211
 Wɔbɛsiesie              	 Wɔbɛsiesie              	0.6478
 ɔrempene.               	 ɔrempene.               	0.6169
 Mɛkamfo                 	 Mɛkamfo                 	0.4156
 sono                    	 sono                    	0.9763
 NNOMMUMFA               	 NNOMMUMFA               	0.7943
 Surviving               	 Surviving               	0.5746
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 hweam                   	 hweam                   	0.6912
 nkɔtoa                  	 nkɔtoa                  	0.4847
 mpepaho                 	 mpepaho                 	0.7399
 nnwomkorɔ               	 nnwomkorɔ               	0.4711
 vi                      	 vi                      	0.9960
 yɛpete                  	 yɛpete                  	0.9632
 yɛapa                   	 yɛapa                   	0.7754
 Sikagua                 	 Sikagua                 	0.6531
 modwenee                	 modwenee                	0.6996
 Fiefo                   	 Fiefo                   	0.6984
 nsaneyare               	 nsaneyare               	0.4344
 Hawa                    	 Hawa                    	0.9250
 West                    	 West                    	0.9449
 Hearing                 	 Hearing                 	0.7752
 Goldie                  	 Goldie                  	0.9802
 wohuruhuru              	 wohuruhuru              	0.3568
 wɔbutubutu              	 wɔbutubutu              	0.7532
 boroe                   	 boroe                   	0.8988
 bɛfrafraa               	 bɛfrafraa               	0.2451
 No                      	 No                      	0.9343
 Relations               	 Relations               	0.9303
 Bafuu                   	 Bafuu                   	0.6696
 nneduafoɔ.              	 nneduafoɔ.              	0.3995
 Meyɛɛ                   	 Meyɛɛ                   	0.9959
 merebɛka                	 merebɛka                	0.7798
 mmoadoma                	 mmoadoma                	0.7382
 Filomena                	 Filomena                	0.4264
 ANYANSASɛM              	 ANYANSASɛM              	0.8551
 kasae                   	 kasae                   	0.7925
 Sawan                   	 Sawan                   	0.6227
 nnyinahma               	 nnyinahma               	0.8516
 reveals                 	 reveals                 	0.9837
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 nsianho                 	 nsianho                 	0.9580
 Eyii                    	 Eyii                    	0.8686
 KɔDAANNA                	 KɔDAANNA                	0.4982
 Kalnins                 	 Katnins                 	0.6955
 mmɔne                   	 mmɔne                   	0.5550
 ahodwanfoɔ              	 ahodwsmfoɔ              	0.0193
 kankorɔ                 	 kankorɔ                 	0.6022
 Yɛasoso                 	 Yɛasoso                 	0.5460
 hintiduato              	 hintiduato              	0.7913
 Akoa                    	 Akoa                    	0.7623
 nokotwa                 	 nokotwa                 	0.8398
 YɛKɔ                    	 YɛKɔ                    	0.9896
 WOBɛKɔ                  	 WOBɛKɔ                  	0.3329
 yɛpɛ.                   	 yɛpɛ.                   	0.7096
 ɛeanette                	 ɛeanette                	0.9206
 ɔwaree                  	 ɔwaree                  	0.9951
 nwuwu                   	 nwuwu                   	0.6471
 adantia                 	 adantia                 	0.7584
 snipa                   	 snipa                   	0.9799
 rekosisi                	 rekosisi                	0.7975
 Nkran                   	 Nkran                   	0.8718
 akyinnyeɛ               	 akyinnyeɛ               	0.9553
 foforoyɛ                	 foforoyɛ                	0.9848
 OGYATANNAA              	 OOXATANMAA              	0.0036
 SFSF                    	 SFSF                    	0.7976
 Mmoadoma                	 Mmoadoma                	0.2141
 Winside                 	 Winside                 	0.7678
 ɔteɛ.                   	 ɔteɛ.                   	0.4030
 wɔbumaa                 	 wɔbumaa                 	0.2542
 Photographiɔ            	 Photographiɔ            	0.3044
 daeɛ                    	 daeɛ                    	0.8773
 minyinsɛnee             	 minyinsɛnee             	0.7173
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wɔakɔntɔn               	 wɔakɔntɔn               	0.6397
 akiki                   	 akiki                   	0.9976
 verified                	 verifed                 	0.8891
 kɔlera                  	 kɔlera                  	0.6257
 Bosu                    	 Bosu                    	0.8332
 ɔpraa                   	 ɔpraa                   	0.9895
 odwudwoe                	 odwudwoe                	0.6477
 yekura                  	 yekura                  	0.5393
 Hwɛ                     	 Hwɛ                     	0.7041
 Zairefo                 	 Zairefo                 	0.9680
 ntotoe                  	 ntotoe                  	0.8120
 akosusuw                	 akosusuw                	0.9076
 Nyamesɛm                	 Nyamesɛm                	0.4096
 .                       	 .                       	0.8502
 Ayers                   	 Ayers                   	0.5585
 ɔkyerɛfo                	 ɔkyerɛfo                	0.8405
 Asante                  	 Asante                  	0.9971
 montow                  	 montow                  	0.3778
 Yɛnnue!                 	 Yɛnnue!                 	0.5361
 mɛyɛ                    	 mɛyɛ                    	0.7290
 wugyee                  	 wugyee                  	0.6704
 woyɛeɛ                  	 woyɛeɛ                  	0.5891
 gyamserefo              	 gyamserefo              	0.8702
 ɔrehyɛ                  	 ɔrehyɛ                  	0.9032
 mmɛtiatia               	 mmɛtiatia               	0.5730
 mpaepaeɛ                	 mpaepaeɛ                	0.7810
 ɔkorɔ.                  	 ɔkorɔ.                  	0.4153
 mudi                    	 mudi                    	0.8915
 atnnidie.               	 atnnidie.               	0.7286
 monko.                  	 monko.                  	0.8323
 medaadaa                	 medaadaa                	0.5090
 nnamfo                  	 nnamfo                  	0.9709
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Gugu                    	 Gugu                    	0.9669
 apaepae.                	 apaepae.                	0.5028
 Obeng                   	 Obeng                   	0.6960
 Agoraios                	 Agoraios                	0.8260
 Simeuluefo              	 Simeuluefo              	0.3253
 mefe                    	 mefe                    	0.9129
 ansɔn                   	 ansɔn                   	0.7474
 Apr                     	 Apr                     	0.6970
 wordNativisation        	 wordNativisation        	0.2614
 onnyaw                  	 onnyaw                  	0.9421
 spid                    	 spid                    	0.7925
 Eddy                    	 Eddy                    	0.9954
 Maseiso                 	 Maseiso                 	0.8030
 wopae                   	 wopae                   	0.6641
 Mpanimma                	 Mpanimma                	0.5391
 ɛwuiɛ.                  	 ɛwuiɛ.                  	0.9906
 akumii                  	 akumii                  	0.6764
 akɔware                 	 akɔware                 	0.5418
 Merensoa                	 Merensoa                	0.8153
 Wɔbɔe                   	 Wɔbɔe                   	0.9823
 yehim                   	 yehim                   	0.8384
 Gale                    	 Gale                    	0.5661
 Burridge                	 Burridge                	0.7874
 wɔhyiaa                 	 wɔhyiaa                 	0.4002
 .                       	 .                       	0.9994
 Entrusted               	 Entrusted               	0.9302
 Kundum                  	 Kundum                  	0.8177
 Ahio                    	 Ahio                    	0.7704
 wɔyam                   	 wɔyam                   	0.4485
 ɔbɛkyerɛkyerɛ           	 ɔbɛkyerɛkyerɛ           	0.7612
 .                       	 .                       	0.7653
 yɛbɛpa                  	 yɛbɛpa                  	0.8032
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 PahatMoab               	 PahatMtoab              	0.3607
 ɔbɛwura                 	 ɔbɛwura                 	0.8686
 Blooming                	 Blooming                	0.4476
 yɛbɛfrɛfrɛ              	 yɛbɛfrɛfrɛ              	0.9538
 hyeem                   	 hyeem                   	0.7599
 Shimabara               	 Shimabara               	0.6506
 ryozoku                 	 ryozoku                 	0.4913
 MONTENA                 	 MONTENA                 	0.5989
 Treviso                 	 Treviso                 	0.5937
 ɔkɔboaa                 	 ɔkɔboaa                 	0.9451
 ɛremuntum               	 ɛremuntum               	0.5826
 Wosisi                  	 Wosisi                  	0.8934
 huro!                   	 huro!                   	0.6686
 awowa.                  	 awowa.                  	0.8294
 dɔtetɔw                 	 dɔtetɔw                 	0.4627
 Yhunu                   	 Yhunu                   	0.9735
 Nsɛnkwaayifoɔ           	 Nsɛnkwaayifoɔ           	0.2491
 Beltesasar              	 Beltesasar              	0.1977
 pie                     	 pie                     	0.8172
 Wonhuu                  	 Wonhuu                  	0.5890
 Dufkyeɛ                 	 Dufkyeɛ                 	0.5424
 wɔasoma                 	 wɔasoma                 	0.4250
 aperedie                	 aperedie                	0.9297
 Sefer                   	 Sefer                   	0.9432
 ɔrekura                 	 ɔrekura                 	0.7658
 Meteɛ                   	 Meteɛ                   	0.7377
 ɔkwaadwofo              	 ɔkwaadwofo              	0.7912
 MOMMOA                  	 MOMMOA                  	0.5419
 few                     	 few                     	0.9295
 mɛtrɛ                   	 mɛtrɛ                   	0.8323
 Woth                    	 Woth                    	0.8606
 Kɔkɔbo                  	 Kɔkɔbo                  	0.6677
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ɔrebo                   	 ɔrebo                   	0.6112
 View                    	 View                    	0.9748
 ɛgyegyeɛ                	 ɛgyegyeɛ                	0.5443
 Dabeset                 	 Dabeset                 	0.9313
 Retie                   	 Retie                   	0.9922
 Yɛtraa                  	 Yɛtraa                  	0.9417
 baha                    	 baha                    	0.9852
 nsohori                 	 nsohori                 	0.9841
 nnesoadeɛ               	 nnesoadeɛ               	0.9230
 tontɔnee                	 tontɔnee                	0.6804
 nnwumade                	 nnwumade                	0.4956
 atim                    	 atim                    	0.9719
 Hollweg                 	 Hottweg                 	0.3442
 sankomadom              	 sankomadom              	0.6803
 Repubbliɔa              	 Repubbliɔa              	0.5058
 Manta                   	 Manta                   	0.4840
 ɛrebɛyera               	 ɛrebɛyera               	0.4336
 Woannaadaa              	 Woannaadaa              	0.3299
 ANIMTIABUO              	 ANIMTIABUO              	0.8902
 Mndez                   	 Mndez                   	0.9931
 modwene                 	 modwene                 	0.6745
 nipakuo                 	 nipakuo                 	0.8498
 Kir?                    	 Kir?                    	0.6853
 nkɔntorɔ                	 nkɔntorɔ                	0.6182
 nhodwoe                 	 nhodwoe                 	0.5245
 neurologiɔa             	 neurologiɔa             	0.1085
 Yɛmmoro                 	 Yɛmmoro                 	0.9748
 mesoma                  	 mesoma                  	0.8715
 aduantɔ                 	 aduantɔ                 	0.4206
 Afi                     	 Afi                     	0.9887
 nsuɔnwini               	 nsuɔnwini               	0.5017
 bɛsa                    	 bɛsa                    	0.8520
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 b                       	 b                       	0.9989
 ɔtenetene               	 ɔtenetene               	0.8105
 Por                     	 Por                     	0.9863
 wɔankasa                	 wɔankasa                	0.3451
 fibea                   	 fibea                   	0.6372
 wɔhwɛe                  	 wɔhwɛe                  	0.9395
 Trazel                  	 Trazel                  	0.8216
 wɔsene                  	 wɔsene                  	0.5663
 guten                   	 guten                   	0.9973
 ALMAZ                   	 ALMAZ                   	0.8300
 Nworo                   	 Nworo                   	0.9113
 momfata                 	 momfata                 	0.7424
 Wɔnnha                  	 sɔnnta                  	0.5311
 Legon.                  	 Legon.                  	0.9780
 abuebue                 	 abuebue                 	0.8038
 Valhalla                	 Vaihaiia                	0.7014
 wɔnwuwu                 	 wɔnwuwu                 	0.8570
 rek                     	 rek                     	0.9974
 hintawee                	 hintawee                	0.5085
 Briton                  	 Briton                  	0.9853
 woaware                 	 woaware                 	0.4637
 sesa.                   	 sesa.                   	0.3220
 mmerantewa              	 mmerantewa              	0.5146
 dle                     	 dle                     	0.9768
 nnwan.                  	 nnwan.                  	0.8164
 Shaye                   	 Shaye                   	0.7934
 mikonyaa                	 misonyaa                	0.4207
 wɔtenatena              	 wɔtenatena              	0.7815
 ɛsoso                   	 ɛsoso                   	0.9851
 adehunu                 	 adehunu                 	0.9299
 wɔresom                 	 wɔresom                 	0.6370
 moadɔ                   	 moadɔ                   	0.9430
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Bilharz                 	 Bilharz                 	0.6156
 wɔfr                    	 wɔfr                    	0.6064
 bɔnnɔ                   	 bɔnnɔ                   	0.5435
 Yetu                    	 Yetu                    	0.9478
 yɛtwentwɛnee            	 yɛtwentwɛnee            	0.5569
 medu                    	 medu                    	0.9045
 brɔda                   	 brɔda                   	0.9973
 mmɛhye                  	 mmɛhye                  	0.5679
 Stan                    	 Stan                    	0.6868
 Moahyiam                	 Moahyiam                	0.5544
 NOF                     	 NOF                     	0.9047
 RGO                     	 RGO                     	0.8280
 Angra                   	 Angra                   	0.8482
 nsawɔsoɔ.               	 nsawɔsoɔ.               	0.7031
 dinnsiananmu            	 dinnsiananmu            	0.7261
 Nkradi                  	 Nkradi                  	0.9718
 yee.                    	 yee.                    	0.9699
 Saving                  	 Saving                  	0.8721
 Meteɛɛm                 	 Meteɛɛm                 	0.9851
 aboa                    	 aboa                    	0.9709
 on                      	 on                      	0.9974
 Yankee                  	 Yankee                  	0.9758
 ss                      	 ss                      	0.9997
 merebɛtwam              	 merebɛtwam              	0.4662
 Kids                    	 Kids                    	0.9991
 asobrakyeɛ              	 asobrakyeɛ              	0.7392
 Souris                  	 Souris                  	0.6147
 afei                    	 afei                    	0.7379
 ntamagow                	 ntamagow                	0.9688
 yɛkɔtenaa               	 yɛkɔtenaa               	0.7021
 Tebea                   	 Tebea                   	0.5607
 Tel                     	 Tel                     	0.5170
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 reyera                  	 reyera                  	0.9793
 Watoto                  	 Watoto                  	0.9989
 yɛawatriw               	 yɛawatriw               	0.3443
 nk                      	 nk                      	0.9800
 akotwa                  	 akotwa                  	0.8526
 Anastasio               	 Anastasio               	0.7211
 Kekule                  	 Kekule                  	0.7414
 wɔnyi.                  	 wɔnyi.                  	0.7615
 ɔbabanin                	 ɔbabanin                	0.7330
 ebetwiw                 	 ebetwiw                 	0.3397
 horsepower              	 horsegower              	0.1017
 Nhwehwemu               	 Nhwehwemu               	0.8277
 FA                      	 FA                      	0.9892
 ɛkyɛwpa                 	 ɛkyɛwpa                 	0.8225
 mehome                  	 mehome                  	0.8468
 Oow...?                 	 Oow..?                  	0.9156
 merepam                 	 merepam                 	0.3639
 woguan                  	 woguan                  	0.6040
 faɔtual                 	 faɔtual                 	0.5709
 nyansasua               	 nyansasua               	0.9918
 wobɛpopa                	 wobɛpopa                	0.6067
 nwenenwenenwene         	 nwenenwenenwene         	0.7767
 Wsan                    	 Wsan                    	0.5025
 wonnsuro                	 wonnsuro                	0.9353
 nturopo                 	 nturopo                 	0.7601
 Turley                  	 Tuley                   	0.5000
 bɛta                    	 bɛta                    	0.7230
 yɛntra                  	 yɛntra                  	0.7221
 asɔrekɔ                 	 asɔrekɔ                 	0.4879
 Kube                    	 Kube                    	0.9931
 akyirikyiri.            	 akyirikyiri             	0.0547
 ɛrebu                   	 ɛrebu                   	0.4341
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Leviathan               	 Leviathan               	0.6837
 .                       	 .                       	0.7623
 mman                    	 mman                    	0.4389
 Seboim                  	 Seboim                  	0.7521
 ntini                   	 ntini                   	0.6312
 ofiasehwɛfo             	 ofiasehwɛfo             	0.9397
 ..                      	 ..                      	0.6047
 ogyatɛnee.              	 ogyatɛnee.              	0.9835
 sɛbe                    	 sɛbe                    	0.9994
 pɔtee.                  	 pɔtee.                  	0.1972
 noun                    	 noun                    	0.6849
 .                       	 .                       	0.9788
 Yenguan                 	 Yenguan                 	0.6844
 Unity                   	 Unity                   	0.9598
 Ambroszɔzak             	 Ambroszɔzak             	0.9244
 foɔus                   	 foɔus                   	0.8669
 Isabelle                	 Isabelle                	0.4427
 ntɔmmrɛ                 	 ntɔmmrɛ                 	0.9703
 adwumfoɔ                	 adwumfoɔ                	0.7427
 nsisie                  	 nsisie                  	0.6570
 reworo                  	 reworo                  	0.9731
 Barton                  	 Barton                  	0.7568
 mmoborɔhunu             	 mmoborɔhunu             	0.2769
 Sherif                  	 Sherif                  	0.9046
 ateateaa.               	 ateateaa.               	0.2232
 Vogue                   	 Vogue                   	0.9747
 raɔham                  	 raɔham                  	0.5965
 Kasambrani              	 Kasambrani              	0.3216
 Bonner                  	 Bonner                  	0.9129
 wasɔn                   	 wasɔn                   	0.7225
 Harrisonburg            	 Rarriaonboru            	0.0040
 akronkronne             	 akronkronne             	0.4979
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wnhwere                 	 wnhwere                 	0.3451
 euphemisms              	 euphemisms              	0.5691
 nsammaa                 	 nsammaa                 	0.8904
 Linguistiɔs             	 Linguisiɔs              	0.2175
 wɔanyɛ                  	 wɔanyɛ                  	0.2612
 mesɛnee                 	 mesɛnee                 	0.3225
 nwininwiniinwini        	 nwininwiniinwini        	0.5533
 nufumafo                	 nufumafo                	0.5471
 ɛtoatoaa                	 ɛtoatoaa                	0.1913
 abebude                 	 abebude                 	0.6949
 afipamfoɔ.              	 afipamfoɔ.              	0.4907
 ADULT                   	 ADULT                   	0.4518
 IBM                     	 IBM                     	0.9683
 sɛn?                    	 sɛn?                    	0.9292
 onyansani               	 onyansani               	0.5969
 ɛnnɛra                  	 ɛnnɛra                  	0.9955
 Rimroɔk                 	 Rimroɔk                 	0.5185
 nkataboɔ                	 nkataboɔ                	0.9693
 Lewisburg               	 Lewisburg               	0.5104
 kɔyɛe                   	 kɔyɛe                   	0.8466
 aetas                   	 aetas                   	0.9910
 Kurosawa                	 Kurosawa                	0.7176
 wansesa                 	 wansesa                 	0.9572
 aniwa                   	 aniwa                   	0.5856
 Lawyer                  	 Lawyer                  	0.9029
 Wɔbɛtumi                	 Wɔbɛtumi                	0.6002
 ɔhweam                  	 ɔhweam                  	0.9911
 Agyinaehyɛde            	 Agyinaehyɛde            	0.1684
 wɔadidi.                	 wɔadidi.                	0.6303
 tuatua                  	 tuatua                  	0.7644
 yedui                   	 yedui                   	0.6654
 kokwakokwa              	 kokwakokwa              	0.5264
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 ɔbaabere                	 ɔbaabere                	0.9844
 ɛoyɔelyn                	 ɛoyɔeiyn                	0.4491
 akasa?                  	 akasa?                  	0.4750
 Svres                   	 Svres                   	0.9835
 Kristian                	 Kristian                	0.4670
 Sagami                  	 Sagami                  	0.5974
 Yɛakyerɛkyerɛ           	 Yɛakyerɛkyerɛ           	0.4538
 wobɛwu.                 	 wobɛwu.                 	0.2320
 tfa                     	 tfa                     	0.2907
 yɛrennyaw               	 yɛrennyaw               	0.8127
 ɔbɛkyenkyen             	 ɔbɛkyenkyen             	0.3094
 Rudyard                 	 Rudyard                 	0.6398
 wodwoodwoo              	 wodwoodwoo              	0.5873
 Montua                  	 Montua                  	0.5309
 onim                    	 onim                    	0.9416
 ntotoho                 	 ntotoho                 	0.3653
 yɛnsensen               	 yɛnsensen               	0.7919
 Gelilot                 	 Gelilot                 	0.6537
 ɔdan                    	 ɔdan                    	0.9985
 rebaebae                	 rebaebae                	0.9675
 USAF                    	 USAF                    	0.5052
 Fi                      	 Fi                      	0.9939
 merekɔma                	 merekɔma                	0.4992
 oye.                    	 oye.                    	0.9962
 Polandfo                	 Polandfo                	0.7304
 monto                   	 monto                   	0.9794
 wbwae                   	 wbwae                   	0.8320
 Sɔotland                	 Sɔotland                	0.4600
 makɔboa                 	 makɔboa                 	0.9801
 wonante                 	 wonante                 	0.5697
 Wɔremfrɛ                	 Wɔremfrɛ                	0.7613
 metwerɛ                 	 metwerɛ                 	0.9710
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 yɛawie                  	 yɛawie                  	0.3861
 Ptuɛ                    	 Ptuɛ                    	0.8273
 Yɛkorɔkorɔ              	 Yɛkorɔkorɔ              	0.7418
 wɔguu                   	 wɔguu                   	0.8151
 p                       	 p                       	0.9847
 tohledhohth             	 nohiodhodih             	0.0035
 mmotan                  	 mmotan                  	0.8631
 mmarima                 	 mmarima                 	0.6572
 Wɔbɛsa                  	 Wɔbɛsa                  	0.5585
 Doɔhow                  	 Doɔhow                  	0.7693
 Plants                  	 Plants                  	0.8004
 Wittenberge             	 Wittenberge             	0.8405
 POLISIFO                	 POLISIFO                	0.9413
 Tsukiɛi                 	 Tsukiɛi                 	0.5064
 nkumaa                  	 nkumaa                  	0.5723
 Kenifo                  	 Kenifo                  	0.9779
 ahoni                   	 ahoni                   	0.7176
 .                       	 .                       	0.5890
 Moanhu                  	 Moanhu                  	0.9454
 metaphors.              	 metaphors.              	0.7592
 str                     	 str                     	0.9990
 Nnipakumfo              	 Nnipakumfo              	0.1025
 yɛrebɛtow               	 yɛrebɛtow               	0.1266
 kieselguhr              	 kieselguhr              	0.6222
 ɔntwee                  	 ɔntwee                  	0.8306
 awie?                   	 awie?                   	0.7506
 p                       	 p                       	0.9842
 ɔdebisani               	 ɔdebisani               	0.6273
 ɔteɛ                    	 ɔteɛ                    	0.8502
 WɔREBɛDA                	 WɔREBɛDA                	0.2312
 pole                    	 pole                    	0.4879
 Foa                     	 Foa                     	0.5581
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 wadwendwene             	 wadwendwene             	0.2870
 Hanna                   	 Hanna                   	0.7912
 yebehuhu                	 yebehuhu                	0.9857
 atomdeɛ                 	 atomdeɛ                 	0.7372
 identifiɔation          	 identifiɔation          	0.4956
 tabon                   	 tabon                   	0.8076
 SL                      	 SL                      	0.9947
 Testing                 	 Testing                 	0.9651
 Kɔkɔsakyi               	 Kɔkɔsakyi               	0.9575
 mesuiɛ.                 	 mesuiɛ.                 	0.9060
 ɔbɛdwodwo               	 ɔbɛdwodwo               	0.9878
 nsonsonoeɛ              	 nsonsonoeɛ              	0.8072
 dɔreeɛ                  	 dɔreeɛ                  	0.9900
 P                       	 P                       	0.7742
 mompene                 	 mompene                 	0.5183
 wɔnam                   	 wɔnam                   	0.9436
 ahenhan                 	 ahenhan                 	0.4839
 E.A.                    	 E.A.                    	0.9409
 ɔkɔhwiee                	 ɔkɔhwiee                	0.9860
 Aɔan                    	 Aɔan                    	0.9009
 Anifirafoɔ!             	 Anifirafoɔl             	0.4884
 permission              	 permission              	0.9696
 wobetu                  	 wobetu                  	0.7300
 abodan                  	 abodan                  	0.6872
 th                      	 th                      	0.9577
 ɔremfom                 	 ɔremfom                 	0.8510
 nyinaa!                 	 nyinaa!                 	0.3567
 kasafiri                	 kasafiri                	0.8840
 mekyerɛw                	 mekyerɛw                	0.7785
 Elton                   	 Elton                   	0.9932
 Storebaelt              	 Storebaelt              	0.9105
 asomafodwuma            	 asomafodwuma            	0.5808
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 kpuee                   	 kpuee                   	0.5510
 ɔpɔnkɔ?                 	 ɔpɔnkɔɔ                 	0.3460
 didiiɛ                  	 didiiɛ                  	0.9844
 Adwumakɔ                	 Adwumakɔ                	0.4987
 bne                     	 bne                     	0.8221
 mdiɔal                  	 mdiɔal                  	0.9271
 amfata                  	 amfata                  	0.5796
 Zahn                    	 Zahn                    	0.9988
 nsrammrane              	 nsrammrane              	0.8894
 yɛbɛkaa                 	 yɛbɛkaa                 	0.8870
 abira.                  	 abira.                  	0.3836
 dwa.Wei                 	 dwa.Wei                 	0.8270
 ɔkompɛtɛ                	 ɔkompɛtɛ                	0.8115
 Awedeba                 	 Awedeba                 	0.8410
 ɔnnhyɛn                 	 ɔnnhyɛn                 	0.6193
 Wɔkoo                   	 Wɔkoo                   	0.8244
 Porto                   	 Porto                   	0.9162
 ɛtutuo                  	 ɛtutuo                  	0.8622
 DADAMUBɛTɛɛ             	 DADAMUBɛTɛɛ             	0.6901
 ybea                    	 ybea                    	0.9544
 Osukɔnoma               	 Osukɔnoma               	0.7121
 ebehia                  	 ebehia                  	0.9229
 duduruu                 	 duduruu                 	0.8069
 ntwirie                 	 ntwirie                 	0.9404
 Neferirkare             	 Neferirkare             	0.9621
 ɔity                    	 ɔity                    	0.8591
 Ntɛtɛwa                 	 Ntɛtɛwa                 	0.5316
 SOUTHAMPTON             	 GɔUTHAMTOW              	0.0023
 kenae                   	 kenae                   	0.8073
 Zambia                  	 Zambia                  	0.5186
 Word                    	 Word                    	0.6102
 Karll                   	 Karll                   	0.6940
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
 Taviranambo             	 Taviranamba             	0.1007
 ny                      	 ny                      	0.9959
 ɛbɛsi                   	 ɛbɛsi                   	0.9894
 awɔ                     	 awɔ                     	0.8136
 softball                	 softball                	0.4723
 afuraefo                	 afuraefo                	0.6505
 ayɛ!                    	 ayɛ!                    	0.9362
 moabɛyɛ                 	 moabɛyɛ                 	0.9594
 Mitsubishi              	 Mitsubishi              	0.7461
 wɔrepue                 	 wɔrepue                 	0.3463
 wobɛtom                 	 wobɛtum                 	0.6760
 Masullo                 	 Masullo                 	0.7710
 ahodwanfoɔ              	 ahodwanfoɔ              	0.4115
 Ntetewmu                	 Ntetewmu                	0.5207
 asukraman               	 asukraman               	0.7996
 abɛ                     	 abɛ                     	0.7524
 ATOSɛM                  	 ATOSɛM                  	0.4990
 Yosemite                	 Yosemite                	0.9259
 Mefɔnee                 	 Mefɔnee                 	0.9817
 nanabene                	 nanabene                	0.6328
